name,ward_name,local_government_name,state_name,location.latitude,location.longitude
ASIPA OPEN SPACE,ILEOGBO  IV,AYEDIRE,OSUN,7.330648300000001,3.849629799999999
"AFRICAN CHURCH AREA, OPEN SPACE",ILEOGBO  IV,AYEDIRE,OSUN,7.5994492,4.2803764
GBOGBO OPEN SPACE,ILEOGBO  IV,AYEDIRE,OSUN,7.6174921,4.2671149
AYI OPEN SPACE,ILEOGBO  IV,AYEDIRE,OSUN,7.7688866,4.5403826
OPEN SPACE ASIPA II,ILEOGBO  IV,AYEDIRE,OSUN,,
AYITEDO MATERNITY CENTRE ILEOGBO,ILEOGBO  IV,AYEDIRE,OSUN,7.674591599999999,4.251281
OLUDE OPEN SPACE,ILEOGBO  III,AYEDIRE,OSUN,7.1976575,3.3554998
IDI-OGUN OPEN SPACE,ILEOGBO  III,AYEDIRE,OSUN,7.6174921,4.2671149
"COMPREHENSIVE HEALTH CENTRE, ILEOGBO",ILEOGBO  III,AYEDIRE,OSUN,7.6167,4.25
AGE'S COMPD. ILEOGBO,ILEOGBO  III,AYEDIRE,OSUN,7.6174921,4.2671149
"ONIJAYI OPEN SPACE, ILE OGBO",ILEOGBO  III,AYEDIRE,OSUN,7.674591599999999,4.251281
AGO KUDETI OPEN SPACE,ILEOGBO  III,AYEDIRE,OSUN,,
EWURO OPEN SPACE,ILEOGBO  III,AYEDIRE,OSUN,7.3645924,3.854484899999999
"SAINT PETER AFRICAN CHURCH SCHOOL, KUTA",KUTA  II,AYEDIRE,OSUN,7.64962,4.2961203
"A/C METHODIST PRY SCHOOL, RAILWAY STATION",KUTA  II,AYEDIRE,OSUN,7.826891799999999,4.8352376
ILE ALAYE,KUTA  II,AYEDIRE,OSUN,7.6476286,4.2884381
"C.M.S SCHOOL, ILORO",KUTA  II,AYEDIRE,OSUN,7.637042600000001,4.2852554
ODE OOSA OPEN SPACE,KUTA  II,AYEDIRE,OSUN,7.6476286,4.2884381
"D.C. SCHOOL, OLUPONNA",OLUPONNA  1I,AYEDIRE,OSUN,7.5896796,4.183447399999999
